Interpro ID	Interpro Short Description	Interpro Description
IPR000387	Tyr/Dual-sp_Pase	Protein-tyrosine/Dual specificity phosphatase
IPR000407	GDA1_CD39_NTPase	Nucleoside phosphatase GDA1/CD39
IPR000408	Reg_chr_condens	Regulator of chromosome condensation, RCC1
IPR000413	Integrin_alpha	Integrin alpha chain
IPR000433	Znf_ZZ	Zinc finger, ZZ-type
IPR000460	Neuroligin	Neuroligin
IPR000463	Fatty_acid-bd	Cytosolic fatty-acid binding
IPR000467	G_patch_dom	G-patch domain
IPR000472	Activin_rcpt	TGF-beta receptor/activin receptor, type I/II
IPR000483	Cys-rich_flank_reg_C	Cysteine-rich flanking region, C-terminal
IPR000488	Death_domain	Death domain
IPR000493	InsP3_rcpt-bd	Inositol 1,4,5-trisphosphate-binding protein receptor
IPR000494	EGF_rcpt_L	EGF receptor, L domain
IPR000497	Dopamine_D5_rcpt	Dopamine D5 receptor
IPR000504	RRM_dom	RNA recognition motif domain
IPR000536	Nucl_hrmn_rcpt_lig-bd_core	Nuclear hormone receptor, ligand-binding, core
IPR000539	Frizzled	Frizzled protein
IPR000557	Calponin_repeat	Calponin repeat
IPR000566	Lipocln_cytosolic_FA-bd_dom	Lipocalin/cytosolic fatty-acid binding domain
IPR000589	Ribosomal_S15	Ribosomal protein S15
IPR000591	DEP_dom	DEP domain
IPR000592	Ribosomal_S27e	Ribosomal protein S27e
IPR000595	cNMP-bd_dom	Cyclic nucleotide-binding domain
IPR000601	PKD_dom	PKD domain
IPR000608	UBQ-conjugat_E2	Ubiquitin-conjugating enzyme, E2
IPR000626	Ubiquitin_dom	Ubiquitin domain
IPR000633	Vinculin_CS	Vinculin, conserved site
IPR000651	Ras-like_Gua-exchang_fac_N	Ras-like guanine nucleotide exchange factor, N-terminal
IPR000697	WH1/EVH1	WH1/EVH1
IPR000698	Arrestin	Arrestin
IPR000699	Ca-rel_channel	Intracellular calcium-release channel
IPR000700	PAS-assoc_C	PAS-associated, C-terminal
IPR000716	Thyroglobulin_1	Thyroglobulin type-1
IPR000717	PCI_dom	Proteasome component (PCI) domain
IPR000719	Prot_kinase_dom	Protein kinase domain
IPR000727	T_SNARE_dom	Target SNARE coiled-coil domain
IPR000731	SSD	Sterol-sensing domain
IPR000735	ADRA2C_rcpt	Alpha 2C adrenoceptor
IPR000742	EG-like_dom	Epidermal growth factor-like domain
IPR000756	Diacylglycerol_kin_accessory	Diacylglycerol kinase, accessory domain
IPR000798	Ez/rad/moesin_like	Ezrin/radixin/moesin like
IPR000817	Prion	Prion protein
IPR000832	GPCR_2_secretin-like	GPCR, family 2, secretin-like
IPR000859	CUB_dom	CUB domain
IPR000884	Thrombospondin_1_rpt	Thrombospondin, type 1 repeat
IPR000904	Sec7_dom	Sec7 domain
IPR000906	ZU5	ZU5
IPR000909	PLipase_C_PInositol-sp_X_dom	Phospholipase C, phosphatidylinositol-specific , X domain
IPR000911	Ribosomal_L11/L12	Ribosomal protein L11/L12
IPR000915	60S_ribosomal_L6E	60S ribosomal protein L6E
IPR000922	Lectin_gal-bd_dom	D-galactoside/L-rhamnose binding SUEL lectin domain
IPR000929	Dopamine_rcpt	Dopamine receptor family
IPR000961	AGC-kinase_C	AGC-kinase, C-terminal
IPR000980	SH2	SH2 domain
IPR000995	Musac_Ach_rcpt	Muscarinic acetylcholine receptor family
IPR000998	MAM_dom	MAM domain
IPR000999	RNase_III_dom	Ribonuclease III domain
IPR001033	Alpha_catenin	Alpha-catenin
IPR001054	A/G_cyclase	Adenylyl cyclase class-3/4/guanylyl cyclase
IPR001060	FCH_dom	FCH domain
IPR001068	Adeno_A1_rcpt	Adenosine A1 receptor
IPR001079	Galectin_CRD	Galectin, carbohydrate recognition domain
IPR001084	MAP_tubulin-bd_rpt	Microtubule associated protein,  tubulin-binding repeat
IPR001090	Ephrin_rcpt_lig-bd_dom	Ephrin receptor ligand binding domain
IPR001094	Flavdoxin	Flavodoxin
IPR001101	Plectin_repeat	Plectin repeat
IPR001107	Band_7	Band 7 protein
IPR001148	Carbonic_anhydrase_a	Alpha carbonic anhydrase
IPR001158	DIX	DIX domain
IPR001164	ArfGAP	Arf GTPase activating protein
IPR001180	Citron	Citron-like
IPR001183	Musac_Ach_M3_rcpt	Muscarinic acetylcholine receptor M3
IPR001192	PI-PLC_fam	Phosphoinositide phospholipase C family
IPR001199	Cyt_B5-like_heme/steroid-bd	Cytochrome b5-like heme/steroid binding domain
IPR001202	WW_dom	WW domain
IPR001206	Diacylglycerol_kinase_cat_dom	Diacylglycerol kinase, catalytic domain
IPR001214	SET_dom	SET domain
IPR001217	STAT	Transcription factor STAT
IPR001234	GPCR_3_mtglu_rcpt_3	GPCR, family 3, metabotropic glutamate receptor 3
IPR001245	Ser-Thr/Tyr_kinase_cat_dom	Serine-threonine/tyrosine-protein kinase catalytic domain
IPR001251	CRAL-TRIO_dom	CRAL-TRIO domain
IPR001256	GPCR_3_mtglu_rcpt_1	GPCR, family 3, metabotropic glutamate receptor 1
IPR001259	Prot_inh_calpain	Proteinase inhibitor I27, calpastatin
IPR001266	Ribosomal_S19e	Ribosomal protein S19e
IPR001279	Beta-lactamas-like	Beta-lactamase-like
IPR001285	Synaptophysin/porin	Synaptophysin/synaptoporin
IPR001303	Aldolase_II/adducin_N	Class II aldolase/adducin N-terminal
IPR001309	Pept_C14_ICE_p20	Peptidase C14, ICE, catalytic subunit p20
IPR001315	CARD	CARD domain
IPR001320	Iontro_glu_rcpt	Ionotropic glutamate receptor
IPR001331	GDS_CDC24_CS	Guanine-nucleotide dissociation stimulator, CDC24, conserved site
IPR001351	Ribosomal_S3_C	Ribosomal protein S3, C-terminal
IPR001359	Synapsin	Synapsin
IPR001368	TNFR/NGFR_Cys_rich_reg	TNFR/NGFR cysteine-rich region
IPR001372	Dynein_light_chain_typ-1/2	Dynein light chain, type 1/2
IPR001375	Peptidase_S9	Peptidase S9, prolyl oligopeptidase, catalytic domain
IPR001394	Peptidase_C19/C67	Ubiquitin carboxyl-terminal hydrolases family 2
IPR001401	Dynamin_GTPase	Dynamin, GTPase domain
IPR001409	Glcrtcd_rcpt	Glucocorticoid receptor
IPR001418	Opioid_rcpt	Opioid receptor
IPR001422	Neuromodulin	Neuromodulin (GAP-43)
IPR001426	Tyr_kinase_rcpt_V_CS	Tyrosine-protein kinase, receptor class V, conserved site
IPR001429	P2X_purnocptor	P2X purinoreceptor
IPR001432	Musac_Ach_M4_rcpt	Muscarinic acetylcholine receptor M4
IPR001433	OxRdtase_FAD/NAD-bd	Oxidoreductase FAD/NAD(P)-binding
IPR001436	Alpha-crystallin/HSP	Alpha crystallin/Heat shock protein
IPR001452	SH3_domain	Src homology-3 domain
IPR001453	Mopterin-bd_dom	Molybdopterin binding domain
IPR001478	PDZ	PDZ domain
IPR001508	NMDA_rcpt	NMDA receptor
IPR001513	Adeno_A2A_rcpt	Adenosine A2A receptor
IPR001565	Synaptotagmin	Synaptotagmin
IPR001573	Pkinase-A_anch_WSK-motif	Protein kinase A anchoring, WSK motif
IPR001589	Actinin_actin-bd_CS	Actinin-type, actin-binding, conserved site
IPR001590	Peptidase_M12B	Peptidase M12B, ADAM/reprolysin
IPR001594	Znf_DHHC_palmitoyltrfase	Zinc finger, DHHC-type, palmitoyltransferase
IPR001605	PH_dom-spectrin-type	Pleckstrin homology domain, spectrin-type
IPR001609	Myosin_head_motor_dom	Myosin head, motor domain
IPR001610	PAC	PAC motif
IPR001611	Leu-rich_rpt	Leucine-rich repeat
IPR001620	Dopamine_D3_rcpt	Dopamine D3 receptor
IPR001623	DnaJ_domain	DnaJ domain
IPR001627	Semap_dom	Sema domain
IPR001628	Znf_hrmn_rcpt	Zinc finger, nuclear hormone receptor-type
IPR001634	Adenosn_rcpt	Adenosine receptor
IPR001650	Helicase_C	Helicase, C-terminal
IPR001660	SAM	Sterile alpha motif domain
IPR001680	WD40_repeat	WD40 repeat
IPR001683	Phox	Phox homologous domain
IPR001696	Na_channel_asu	Voltage gated sodium channel, alpha subunit
IPR001698	CapZ_beta	F-actin-capping protein subunit beta
IPR001709	Flavoprot_Pyr_Nucl_cyt_Rdtase	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001711	PLipase_C_Pinositol-sp_Y	Phospholipase C, phosphatidylinositol-specific, Y domain
IPR001715	CH-domain	Calponin homology domain
IPR001723	Str_hrmn_rcpt	Steroid hormone receptor
IPR001750	NADH_UbQ/plastoQ_OxRdtase	NADH:ubiquinone/plastoquinone oxidoreductase
IPR001757	Cation_transp_P_typ_ATPase	Cation-transporting P-type ATPase
IPR001762	Blood-coag_inhib_Disintegrin	Blood coagulation inhibitor, Disintegrin
IPR001763	Rhodanese-like_dom	Rhodanese-like domain
IPR001770	Gprotein-gamma	G-protein, gamma subunit
IPR001781	Znf_LIM	Zinc finger, LIM-type
IPR001790	Ribosomal_L10/acidic_P0	Ribosomal protein L10/acidic P0
IPR001799	Ephrin	Ephrin
IPR001806	Small_GTPase	Small GTPase superfamily
IPR001810	F-box_dom	F-box domain
IPR001828	ANF_lig-bd_rcpt	Extracellular ligand-binding receptor
IPR001837	Adenylate_cyclase-assoc_CAP	Adenylate cyclase-associated CAP
IPR001841	Znf_RING	Zinc finger, RING-type
IPR001849	Pleckstrin_homology	Pleckstrin homology domain
IPR001870	B30.2/SPRY	B30.2/SPRY domain
IPR001876	Znf_RanBP2	Zinc finger, RanBP2-type
IPR001879	GPCR_2_extracellular_dom	GPCR, family 2, extracellular hormone receptor domain
IPR001881	EGF-like_Ca-bd_dom	EGF-like calcium-binding domain
IPR001892	Ribosomal_S13	Ribosomal protein S13
IPR001895	RasGRF_CDC25	Guanine-nucleotide dissociation stimulator CDC25
IPR001922	Dopamine_D2_rcpt	Dopamine D2 receptor
IPR001925	Porin_Euk	Porin, eukaryotic type
IPR001936	RasGAP	Ras GTPase-activating protein
IPR001946	ADRA2A_rcpt	Alpha 2A adrenoceptor
IPR001971	Ribosomal_S11	Ribosomal protein S11
IPR001997	Calponin	Calponin
IPR002011	Tyr_kinase_rcpt_2_CS	Tyrosine-protein kinase, receptor class II, conserved site
IPR002017	Spectrin_repeat	Spectrin repeat
IPR002018	CarbesteraseB	Carboxylesterase, type B
IPR002048	EF_hand_dom	EF-hand domain
IPR002068	a-crystallin/Hsp20_dom	Alpha crystallin/Hsp20 domain
IPR002073	PDEase_catalytic_dom	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
IPR002077	VDCCAlpha1	Voltage-dependent calcium channel, alpha-1 subunit
IPR002108	Actin-bd_cofilin/tropomyosin	Actin-binding, cofilin/tropomyosin type
IPR002109	Glutaredoxin	Glutaredoxin
IPR002110	Ankyrin_rpt	Ankyrin repeat
IPR002124	Cyt_c_oxidase_su5b	Cytochrome c oxidase, subunit Vb
IPR002126	Cadherin	Cadherin
IPR002131	Gphrmn_rcpt_fam	Glycoprotein hormone receptor family
IPR002136	Ribosomal_L4/L1e	Ribosomal protein L4/L1e
IPR002138	Pept_C14_p10	Peptidase C14, caspase non-catalytic subunit p10
IPR002143	Ribosomal_L1	Ribosomal protein L1
IPR002154	Neuregulin_1_C	Neuregulin 1-related, C-terminal
IPR002165	Plexin_repeat	Plexin
IPR002171	Ribosomal_L2	Ribosomal protein L2
IPR002172	LDrepeatLR_classA_rpt	Low-density lipoprotein (LDL) receptor class A repeat
IPR002219	Prot_Kinase_C-like_PE/DAG-bd	Protein kinase C-like, phorbol ester/diacylglycerol binding
IPR002228	Musac_Ach_M1_rcpt	Muscarinic acetylcholine receptor M1
IPR002233	ADR_fam	Adrenoceptor family
IPR002350	Kazal_dom	Kazal domain
IPR002394	Nicotinic_acetylcholine_rcpt	Nicotinic acetylcholine receptor
IPR002492	Transposase_Tc1-like	Transposase, Tc1-like
IPR002498	PInositol-4-P-5-kinase_core	Phosphatidylinositol-4-phosphate 5-kinase, core
IPR002524	Cation_efflux	Cation efflux protein
IPR002558	ILWEQ_dom	I/LWEQ domain
IPR002652	Importin-a_IBB	Importin-alpha, importin-beta-binding domain
IPR002675	Ribosomal_L38e	Ribosomal protein L38e
IPR002784	Ribosomal_L14	Ribosomal protein L14
IPR002867	Znf_C6HC	Zinc finger, C6HC-type
IPR002870	Peptidase_M12B_N	Peptidase M12B, propeptide
IPR002893	Znf_MYND	Zinc finger, MYND-type
IPR002909	IPT	IPT domain
IPR002921	Lipase_3	Lipase, class 3
IPR002939	DnaJ_C	Chaperone DnaJ, C-terminal
IPR002955	Tau	Microtubule-associated protein Tau
IPR002957	Keratin_I	Keratin, type I
IPR002987	NaCa_exhngr1	Sodium/calcium exchanger, isoform 1
IPR003006	Ig/MHC_CS	Immunoglobulin/major histocompatibility complex, conserved site
IPR003019	Metalthion_sfam_euk	Metallothionein superfamily, eukaryotic
IPR003028	Na/ntran_symport_glycine_GLY1	Sodium:neurotransmitter symporter, glycine, type 1
IPR003045	P2X2_purnocptor	P2X2 purinoceptor
IPR003047	P2X4_purnocptor	P2X4 purinoceptor
IPR003049	P2X6_purnocptor	P2X6 purinoceptor
IPR003090	Alpha-crystallin_N	Alpha-crystallin, N-terminal
IPR003096	SM22_calponin	Smooth muscle protein/calponin
IPR003097	FAD-binding_1	FAD-binding, type 1
IPR003100	PAZ_dom	Argonaute/Dicer protein, PAZ domain
IPR003108	GAS2_dom	Growth-arrest-specific protein 2 domain
IPR003109	GoLoco_motif	GoLoco motif
IPR003112	Olfac-like	Olfactomedin-like
IPR003116	Raf-like_ras-bd	Raf-like Ras-binding
IPR003123	VPS9	Vacuolar sorting protein 9
IPR003127	Sorb	Sorbin-like
IPR003128	Villin_headpiece	Villin headpiece
IPR003130	GED	Dynamin GTPase effector
IPR003131	T1-type_BTB	Potassium channel tetramerisation-type BTB domain
IPR003307	W2_domain	W2 domain
IPR003334	GPCR_2_latrophilin_rcpt_C	GPCR, family 2, latrophilin, C-terminal
IPR003338	CDC4_N-term_subdom	CDC48, N-terminal subdomain
IPR003351	Dishevelled_protein_dom	Dishevelled protein domain
IPR003377	Cornichon	Cornichon
IPR003388	Reticulon	Reticulon
IPR003392	Patched	Patched
IPR003409	MORN	MORN motif
IPR003527	MAP_kinase_CS	Mitogen-activated protein (MAP) kinase, conserved site
IPR003533	Doublecortin_dom	Doublecortin domain
IPR003585	Neurexin-like	Neurexin/syndecan/glycophorin C
IPR003591	Leu-rich_rpt_typical-subtyp	Leucine-rich repeat, typical subtype
IPR003593	AAA+_ATPase	AAA+ ATPase domain
IPR003595	Tyr_Pase_cat	Protein-tyrosine phosphatase, catalytic
IPR003598	Ig_sub2	Immunoglobulin subtype 2
IPR003599	Ig_sub	Immunoglobulin subtype
IPR003607	HD/PDEase_dom	HD/PDEase domain
IPR003644	Calx_beta	Na-Ca exchanger/integrin-beta4
IPR003877	SPRY_rcpt	SPla/RYanodine receptor SPRY
IPR003890	MIF4G-like_typ-3	MIF4G-like, type 3
IPR003891	Initiation_fac_eIF4g_MI	Initiation factor eIF-4 gamma, MA3
IPR003913	Tuberin	Tuberin
IPR003917	NADH_UbQ_OxRdtase_chain2	NADH:ubiquinone oxidoreductase, chain 2
IPR003924	GPCR_2_latrophilin	GPCR, family 2, latrophilin
IPR003938	K_chnl_volt-dep_EAG/ELK/ERG	Potassium channel, voltage-dependent, EAG/ELK/ERG
IPR003949	K_chnl_volt-dep_EAG	Potassium channel, voltage-dependent, EAG
IPR003954	RRM_dom_euk	RNA recognition motif domain, eukaryote
IPR003959	ATPase_AAA_core	ATPase, AAA-type, core
IPR003960	ATPase_AAA_CS	ATPase, AAA-type, conserved site
IPR003961	Fibronectin_type3	Fibronectin, type III
IPR003968	K_chnl_volt-dep_Kv	Potassium channel, voltage dependent, Kv
IPR003971	K_chnl_volt-dep_Kv9	Potassium channel, voltage dependent, Kv9
IPR003974	K_chnl_volt-dep_Kv3	Potassium channel, voltage dependent, Kv3
IPR003975	K_chnl_volt-dep_Kv4	Potassium channel, voltage dependent, Kv4
IPR003977	Parkin	E3 ubiquitin-protein ligase Parkin
IPR004000	Actin-related	Actin-related protein
IPR004001	Actin_CS	Actin, conserved site
IPR004009	Myosin_N	Myosin, N-terminal, SH3-like
IPR004012	Run	RUN
IPR004014	ATPase_P-typ_cation-transptr_N	Cation-transporting P-type ATPase, N-terminal
IPR004030	NO_synthase_oxygenase_dom	Nitric oxide synthase, oxygenase domain
IPR004031	PMP22/EMP/MP20/Claudin	PMP-22/EMP/MP20/Claudin superfamily
IPR004038	Ribosomal_L7Ae/L30e/S12e/Gad45	Ribosomal protein L7Ae/L30e/S12e/Gadd45
IPR004044	KH_dom_type_2	K Homology domain, type 2
IPR004045	Glutathione_S-Trfase_N	Glutathione S-transferase, N-terminal
IPR004054	K_chnl_volt-dep_Kv4.1	Potassium channel, voltage dependent, Kv4.1
IPR004055	K_chnl_volt-dep_Kv4.2	Potassium channel, voltage dependent, Kv4.2
IPR004056	K_chnl_volt-dep_Kv4.3	Potassium channel, voltage dependent, Kv4.3
IPR004074	IL-1_rcpt_I/II-typ	Interleukin-1 receptor type I/II
IPR004076	IL-1_rcpt_I-typ	Interleukin-1 receptor type 1
IPR004087	KH_dom	K Homology domain
IPR004088	KH_dom_type_1	K Homology domain, type 1
IPR004148	BAR_dom	BAR domain
IPR004166	MHCK_EF2_kinase	MHCK/EF2 kinase
IPR004172	L27	L27
IPR004182	GRAM	GRAM domain
IPR004201	Cdc48_dom2	CDC48, domain 2
IPR004344	TTL/TTLL_fam	Tubulin-tyrosine ligase/Tubulin polyglutamylase
IPR004743	Monocarb_transpt	Monocarboxylate transporter
IPR004766	TM_rcpt_patched	Transmembrane receptor, patched
IPR004836	Na_Ca_Ex	Sodium/calcium exchanger protein
IPR004837	NaCa_Exmemb	Sodium/calcium exchanger membrane region
IPR004843	PEstase_dom	Phosphoesterase domain
IPR004944	CDK5_activator	Cyclin-dependent kinase 5 activator
IPR004965	Paralemmin	Paralemmin
IPR004977	Ribosomal_S25	Ribosomal protein S25
IPR005024	Snf7	Snf7
IPR005026	GKAP	Guanylate-kinase-associated protein
IPR005034	Dicer_dimerisation_dom	Dicer dimerisation domain
IPR005110	MoeA_linker/N	MoeA, N-terminal and linker domain
IPR005111	MoeA_C_domain_IV	MoeA, C-terminal, domain IV
IPR005123	Oxoglu/Fe-dep_dioxygenase	Oxoglutarate/iron-dependent dioxygenase
IPR005189	Focal_adhesion_kin_target_dom	Focal adhesion kinase, targeting (FAT) domain
IPR005225	Small_GTP-bd_dom	Small GTP-binding protein domain
IPR005329	Sorting_nexin_N	Sorting nexin, N-terminal
IPR005378	VPS35	Vacuolar protein sorting-associated protein 35
IPR005399	K_chnl_volt-dep_bsu_KCNAB-rel	Potassium channel, voltage-dependent, beta subunit, KCNAB-related
IPR005401	K_chnl_volt-dep_bsu_KCNAB2	Potassium channel, voltage-dependent, beta subunit, KCNAB2
IPR005422	VDCC_g2su	Voltage-dependent calcium channel, gamma-2 subunit
IPR005423	VDCC_g4su	Voltage-dependent calcium channel, gamma-4 subunit
IPR005446	VDCC_L_a1su	Voltage-dependent calcium channel, L-type, alpha-1 subunit
IPR005451	VDCC_L_a1csu	Voltage-dependent calcium channel, L-type, alpha-1C subunit
IPR005485	Rbsml_L5_euk/L18_arc	Ribosomal protein L5 eukaryotic/L18 archaeal
IPR005568	Ribosomal_L6_N	Ribosomal protein L6, N-terminal
IPR005703	Ribosomal_S3_euk/arc	Ribosomal protein S3, eukaryotic/archaeal
IPR005775	ATPase_P-typ_Na/K_IIC	Sodium/potassium-transporting P-type ATPase, subfamily IIC
IPR005819	Histone_H5	Histone H5
IPR005821	Ion_trans_dom	Ion transport domain
IPR005983	K_chnl_volt-dep_bsu_KCNAB	Potassium channel, voltage-dependent, beta subunit, KCNAB
IPR005998	Ribosomal_L7_euk	Ribosomal protein L7, eukaryotic
IPR006011	Syntaxin_N	Syntaxin, N-terminal domain
IPR006012	Syntaxin/epimorphin_CS	Syntaxin/epimorphin, conserved site
IPR006017	Caldesmon	Caldesmon
IPR006018	Caldesmon_LSP	Caldesmon/lymphocyte specific protein
IPR006020	PTB/PI_dom	PTB/PI domain
IPR006028	GABAA_rcpt	Gamma-aminobutyric acid A receptor
IPR006029	Neurotrans-gated_channel_TM	Neurotransmitter-gated ion-channel transmembrane domain
IPR006068	ATPase_P-typ_cation-transptr_C	Cation-transporting P-type ATPase, C-terminal
IPR006077	Vinculin/catenin	Vinculin/alpha-catenin
IPR006121	HeavyMe-assoc_HMA	Heavy metal-associated domain, HMA
IPR006122	HMA_Cu_ion-bd	Heavy metal-associated domain, copper ion-binding
IPR006141	Intein_splice_site	Intein splice site
IPR006186	Ser/Thr-sp_prot-phosphatase	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase
IPR006201	Neur_channel	Neurotransmitter-gated ion-channel
IPR006202	Neur_chan_lig-bd	Neurotransmitter-gated ion-channel ligand-binding
IPR006211	Furin-like_Cys-rich_dom	Furin-like cysteine-rich domain
IPR006212	Furin_repeat	Furin-like repeat
IPR006408	ATPase_P-typ_Ca-transp_plasma	Calcium-transporting P-type ATPase, subfamily IIB
IPR006424	Glyceraldehyde-3-P_DH_1	Glyceraldehyde-3-phosphate dehydrogenase, type I
IPR006573	Neu_Z	NEUZ
IPR006581	VPS10	VPS10
IPR006586	ADAM_Cys-rich	ADAM, cysteine-rich
IPR006597	Sel1-like	Sel1-like
IPR006599	CARP_motif	CARP motif
IPR006615	Pept_C19_DUSP	Peptidase C19, ubiquitin-specific peptidase, DUSP domain
IPR006620	Pro_4_hyd_alph	Prolyl 4-hydroxylase, alpha subunit
IPR006628	PUR_DNA_RNA-bd	PUR-alpha/beta/gamma, DNA/RNA-binding
IPR006652	Kelch_1	Kelch repeat type 1
IPR006689	Small_GTPase_ARF/SAR	Small GTPase superfamily, ARF/SAR type
IPR006716	ERG2_sigma1_rcpt-like	ERG2/sigma1 receptor-like
IPR006821	Intermed_filament_DNA-bd	Intermediate filament head, DNA-binding domain
IPR006822	Coatomer_esu	Coatomer, epsilon subunit
IPR006907	DUF622	Domain of unknown function DUF622
IPR006935	Helicase/UvrB_dom	Helicase/UvrB domain
IPR007034	BMS1_TSR1_C	Ribosome biogenesis protein BMS1/TSR1, C-terminal
IPR007110	Ig-like_dom	Immunoglobulin-like domain
IPR007191	Sec8_exocyst	Sec8 exocyst complex component specific domain
IPR007248	Mpv17_PMP22	Mpv17/PMP22
IPR007262	VPS55	Vacuolar protein sorting 55
IPR007330	MIT	MIT
IPR007477	SAB_dom	SAB domain
IPR007483	Hamartin	Hamartin
IPR007531	Dysbindin	Dysbindin
IPR007587	SAPS	SIT4 phosphatase-associated protein family
IPR007593	CD225/Dispanin_fam	CD225/Dispanin family
IPR007707	TACC	Transforming acidic coiled-coil
IPR008054	Na_channel_a8su	Voltage gated sodium channel, alpha-8 subunit
IPR008077	GPCR_2_brain-spec_angio_inhib	GPCR, family 2, brain-specific angiogenesis inhibitor
IPR008144	Guanylate_kin-like	Guanylate kinase-like
IPR008145	GK/Ca_channel_bsu	Guanylate kinase/L-type calcium channel beta subunit
IPR008250	ATPase_P-typ_transduc_dom_A	P-type ATPase, A  domain
IPR008253	Marvel	Marvel domain
IPR008254	Flavodoxin/NO_synth	Flavodoxin/nitric oxide synthase
IPR008266	Tyr_kinase_AS	Tyrosine-protein kinase, active site
IPR008271	Ser/Thr_kinase_AS	Serine/threonine-protein kinase, active site
IPR008284	MoCF_biosynth_CS	Molybdenum cofactor biosynthesis, conserved site
IPR008339	Dishevelled_fam	Dishevelled family
IPR008349	MAPK_ERK1/2	Mitogen-activated protein (MAP) kinase, ERK1/2
IPR008351	MAPK_JNK	Mitogen-activated protein (MAP) kinase, JNK
IPR008355	Interferon_gamma_rcpt_asu	Interferon gamma receptor alpha subunit
IPR008368	VDCC_gsu	Voltage-dependent calcium channel, gamma subunit
IPR008369	VDCC_g5su	Voltage-dependent calcium channel, gamma-5 subunit
IPR008371	VDCC_g7su	Voltage-dependent calcium channel, gamma-7 subunit
IPR008372	VDCC_g8su	Voltage-dependent calcium channel, gamma-8 subunit
IPR008379	Band_4.1_C	Band 4.1, C-terminal
IPR008395	Agenet-like_dom	Agenet-like domain
IPR008899	Znf_piccolo	Zinc finger, piccolo-type
IPR008915	Peptidase_M50	Peptidase M50
IPR008936	Rho_GTPase_activation_prot	Rho GTPase activation protein
IPR008942	ENTH_VHS	ENTH/VHS
IPR008967	p53-like_TF_DNA-bd	p53-like transcription factor, DNA-binding
IPR008971	HSP40/DnaJ_pept-bd	HSP40/DnaJ peptide-binding
IPR008972	Cupredoxin	Cupredoxin
IPR008978	HSP20-like_chaperone	HSP20-like chaperone
IPR008979	Galactose-bd-like	Galactose-binding domain-like
IPR008989	Myosin_S1_N	Myosin S1 fragment, N-terminal
IPR008991	Translation_prot_SH3-like	Translation protein SH3-like domain
IPR009010	Asp_de-COase-like_dom	Aspartate decarboxylase-like domain
IPR009019	KH_prok-type	K homology domain, prokaryotic type
IPR009030	Growth_fac_rcpt_N_dom	Insulin-like growth factor binding protein, N-terminal
IPR009068	S15_NS1_RNA-bd	S15/NS1, RNA-binding
IPR009072	Histone-fold	Histone-fold
IPR009091	RCC1/BLIP-II	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
IPR009398	Adenylate_cyclase-like	Adenylate cyclase-like
